stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,stop_access
DQL,DQL,DHALAIBIL,DHALAIBIL,,26.7889,92.9279,,,0,,Asia/Kolkata,0,,,
DQN,DQN,DHANERA,DHANERA,,24.506528,72.032364,,,0,,Asia/Kolkata,0,,,
DQR,DQR,DABIRPURA,DABIRPURA,,17.366183,78.490384,,,0,,Asia/Kolkata,0,,,
DR,DR,DADAR,DADAR,,19.017189,72.842982,,,0,,Asia/Kolkata,0,,,
DRA,DRA,DULARIA,DULARIA,,22.575241,77.653942,,,0,,Asia/Kolkata,0,,,
DRB,DRB,DEBARI,DEBARI,,24.6067,73.8051,,,0,,Asia/Kolkata,0,,,
DRBR,DRBR,DEORAHA BABA RD,DEORAHA BABA RD,,26.2837,83.8708,,,0,,Asia/Kolkata,0,,,
DRD,DRD,DAHANU ROAD,DAHANU ROAD,,19.991417,72.743568,,,0,,Asia/Kolkata,0,,,
DRGM,DRGM,DEORAGRAM,DEORAGRAM,,24.096775,82.352314,,,0,,Asia/Kolkata,0,,,
DRGU,DRGU,DAMRUGHUTU,DAMRUGHUTU,,23.45179,86.09024,,,0,,Asia/Kolkata,0,,,
DRH,DRH,DHARHARA,DHARHARA,,25.2583,86.4118,,,0,,Asia/Kolkata,0,,,
DRHI,DRHI,DAGAR KHEDI,DAGAR KHEDI,,22.106635,76.831856,,,0,,Asia/Kolkata,0,,,
DRI,DRI,DUMRI JUARA,DUMRI JUARA,,25.7484,84.8693,,,0,,Asia/Kolkata,0,,,
DRL,DRL,DEROL,DEROL,,22.6299,73.4619,,,0,,Asia/Kolkata,0,,,
DRLA,DRLA,DAURALA,DAURALA,,29.1142,77.7063,,,0,,Asia/Kolkata,0,,,
DRN,DRN,DEORANIAN,DEORANIAN,,28.64495,79.476643,,,0,,Asia/Kolkata,0,,,
DRO,DRO,DARYAOGONJ,DARYAOGONJ,,27.5966,79.0917,,,0,,Asia/Kolkata,0,,,
DRPH,DRPH,DEVRI P.H.,DEVRI P.H.,,22.85672,79.836788,,,0,,Asia/Kolkata,0,,,
DRQ,DRQ,DHARMINIYA,DHARMINIYA,,26.8654,84.7933,,,0,,Asia/Kolkata,0,,,
